,chemical_name_NL,pass_fail,mean_conc,output_gw,CAS_number,chemical_name_EN,molecular_weight,solubility,log_octanol_water_partitioning_coefficient,log_distribution_coefficient,chemical_group,chemical_group_number,molecular_volume,Drinking_water_norm
23,"o,p’-DDD",passed,0.20452755371952064,1.0081644892578938,,"o,p’-DDD",320.1,0.3201,6.8,3.943475106,overige,3.0,224.8,0.0001
24,"o,p’-DDE",passed,0.3393132245071808,1.0048396105820572,,"o,p’-DDE",318.0,0.400338281,7.1,4.1134711,overige,3.0,221.1,0.0001
25,"o,p’-DDT",passed,0.060140130868258306,1.0089779126980396,,"o,p’-DDT",354.5,0.177670874,6.4,4.343467663,overige,3.0,237.7,0.0001
26,α-endosulfan,passed,0.0002386599424273225,1.0050983542180558,,α-endosulfan,406.9,2.567365435,4.9,1.874913747,overige,3.0,236.3,0.0001
27,α-HCH,passed,5.4068089642553374e-05,1.0092088587217178,,α-HCH,290.8,91.95903436,3.9,2.09433891,overige,3.0,178.0,0.0001
28,β-HCH,passed,4.795962614013466e-05,1.0095305434181685,,β-HCH,290.8,460.8869404,3.9,2.134261869,overige,3.0,178.0,0.0001
29,γ-HCH,passed,4.4043279914320596e-05,1.008982375483936,,γ-HCH,290.8,73.04565743,3.8,1.755373969,overige,3.0,178.0,0.0001
30,δ-HCH,passed,5.30421857815584e-05,1.009376061376191,,δ-HCH,290.8,115.7695652,3.9,2.134261869,overige,3.0,178.0,0.0001
31,Fenol,passed,3.944004229105714e-06,1.0092644785841336,108-95-2,Phenol,94.10499987,65559.5567,1.48,0.336603308,O2,3.0,,0.001
32,Benzeen,passed,0.0005552023402009282,1.009103728100939,71-43-2,Benzene,78.10666652,1988.898826,2.13,0.659555885,MAK,1.0,89.4,0.001
33,Ethylbenzeen,passed,0.003645297493009901,1.009041813903232,100-41-4,Ethylbenzene,106.186665,159.4494297,3.15,1.299931656,MAK,1.0,,0.001
34,m-Xyleen,passed,0.004068359783868529,1.0090904909944172, 108-38-3 ,m-Xylene,106.1899991,197.4065205,3.2,1.181562839,MAK,1.0,,0.001
35,o-Xyleen,passed,0.0033017095102535017,1.0091255075507988, 95-47-6 ,o-Xylene,106.186665,218.9335957,3.12,0.956771645,MAK,1.0,,0.001
36,p-Xyleen,passed,0.0035702994117537304,1.0090971985977664,,p-Xylene,106.186665,210.9384616,3.15,1.428036212,MAK,1.0,123.9,0.001
37,Styrene,passed,0.0022262480907757416,1.0092770648761364,100-42-5,Styrene,104.1485645,320.0573505,2.95,1.348594147,MAK,1.0,,0.001
38,Tolueen,passed,0.0017608598723381336,1.0097491581545746,108-88-3,Toluene,92.14249285,610.5910523,2.73,0.870272715,MAK,1.0,106.9,0.001
39,"1,2,3-Trichloorbenzeen",passed,0.006773806123430604,1.0082117350171842,87-61-6,"1,2,3-Trichlorobenzene",181.439995,13.62398701,4.14,1.994666142,ClArom,1.0,,0.001
40,"1,2,4-Trichloorbenzeen",passed,0.004764333638578982,1.0091262679646764,120-82-1,"1,2,4-Trichlorobenzene",181.439995,28.80802015,4.05,2.044515105,ClArom,1.0,,0.001
41,"1,2-Dichloorbenzeen",passed,0.0022644669436415778,1.0095619002491023,95-50-1,"1,2-Dichlorobenzene",147.0024999,140.218586,3.43,1.36831917,ClArom,1.0,,0.001
42,"1,3,5-Trichloorbenzeen",passed,0.01087777437441241,1.0067627684931075,108-70-3,"1,3,5-Trichlorobenzene",181.4249983,4.711953407,4.19,2.744256831,ClArom,1.0,,0.001
43,"1,3-Dichloorbenzeen",passed,0.002134000224273437,1.0094684170006982,541-73-1,"1,3-Dichlorobenzene",147.0,114.3333333,3.4,1.546462047,ClArom,1.0,,0.001
44,"1,4-Dichloorbenzeen",passed,0.0024962606010214177,1.008819939636375,106-46-7,"1,4-Dichlorobenzene",147.0019999,60.52630716,3.44,1.586462047,ClArom,1.0,,0.001
45,Hexachloorbenzeen,passed,0.1866844767521212,1.0072545005753668,118741,Hexachlorobenzene,284.8,0.0117,5.73,2.823626427,ClArom,1.0,,0.001
